,Id,Text,Label,HashTag,predicted,confidence
1978,1248198153888616452,"India, along with the rest of the world, is currently undergoing an unprecedented crisis due to the coronavirus outbreak. Despite the timely warnings by WHO &amp; Shri Rahul Gandhi, knowing that India reporting it's first case on January 30th #PMका_देश_को_धोखा",INFORMATIVE,PMका_देश_को_धोखा,UNINFORMATIVE,0.99615085
597,1241039898271985670,"Suggestions for #covid reporting: #CovidS (have symptoms), #Covid7 (had symptoms for 7 days), #Covid14 (symptoms for 14 days), #CovidT (have been tested positive), #Covid0 (have been tested and don’t have it), #CovidH (have been hospitalised), #CovidX (person has died).",UNINFORMATIVE,covid CovidS Covid7 Covid14 CovidT Covid0 CovidH CovidX,INFORMATIVE,0.9928946
1105,1247064175114944513,BREAKING: A tiger at the Bronx Zoo in New York has tested positive for Covid-19. This is the second case of an animal being infected after Harvey Weinstein in March.,UNINFORMATIVE,NA,INFORMATIVE,0.99120116
826,1240560225423245312,"The role of the society is paramount in its war against #Coronovirus. Let’s behave sensible, avoid needless travelling and socialising &amp; on top of that, report contact, if any, with the positive #Covid19 patient in Srinagar &amp; break this chain of transmission. #Covid19Kashmir",INFORMATIVE,Coronovirus. Covid19 Covid19Kashmir,UNINFORMATIVE,0.9906955
573,1245807554820702208,I'll pull a Kurt Kloss and ask peeps here if their companies have a written COVID policy on what happens when a coworker tests positive post the mandated work from home period. Curious to know if anyone's read published solutions to the new workplace normal.,INFORMATIVE,NA,UNINFORMATIVE,0.9846949
1495,1239244660280786944,"Wishing a speedy recovery to the EU's former #CFSP High Representative. Please be careful, everyone: Former NATO chief Javier Solana has coronavirus: source #COVIDー19",INFORMATIVE,CFSP COVIDー19,UNINFORMATIVE,0.98262644
613,1237982942170767360,i’m literally being forced to sit thru 6 hrs of school in a city w/ 29 cases of covid-19 while people in vermont will get a month off for a single speck of snow #CloseTheSchools,INFORMATIVE,CloseTheSchools,UNINFORMATIVE,0.98200697
265,1247488606681382912,'#ClapForBoris tonight at 8pm': Twitter users unite in support of PM after he was moved to intensive care with worsening coronavirus symptoms via 💪🙏👍👏👏👏 I’ll be there #boris,INFORMATIVE,ClapForBoris boris,UNINFORMATIVE,0.9819286
1137,1241475326263296003,Good tweet stream here on today’s NWT public health press conference addressing the first COVID19 case and the travel and mobility restrictions. Thanks #cbcnorth,INFORMATIVE,cbcnorth,UNINFORMATIVE,0.9722305
82,1248647929868541953,"Postscript - The idea that the US #COVID19 Deaths has peaked depends on daily deaths moving back below 1,600. Until that happens, we remain vulnerable to the death rate moving to near 3,200. That could alter the curve and affect the peak.",INFORMATIVE,COVID19,UNINFORMATIVE,0.97112817
1141,1236091758456397824,READ | Presidential Spokesperson Salvador Panelo on Covid-19: News of foreign nationals purportedly contracting the new coronavirus disease (Covid-19) in the Philippines has reached the Office of the President. | via,UNINFORMATIVE,NA,INFORMATIVE,0.96914893
636,1240562054861381632,"Yep I'm not anyway trying to distance them as Indians...Only worried abt how will Mumbai alone deal with 26K ppl suspected of covid19,rather the other states &amp; cities share this responsibility..",INFORMATIVE,NA,UNINFORMATIVE,0.96750736
1358,1242404414352232454,"Air peace ✌️ pilot refused to open the exit door 🚪 of a plane ✈️ flying from Lagos to Kano, cus he suspect’s a COVID19 carrier in the plane. Thumbs 👍 up to the pilot",INFORMATIVE,NA,UNINFORMATIVE,0.966922
923,1236265639758659585,"All the best Mr. Zingaretti. Wish you a fast recovery. We need our leaders in Italy. Montalbano will guard on you! #ITALY #Coronavirus #Forza Coronavirus, Zingaretti positivo al test via",INFORMATIVE,ITALY Coronavirus Forza,UNINFORMATIVE,0.9640297
117,1247093622790598656,"A new deadly virus discovered in Nigeria. According to report it is more deadly than #Coronavirus as at this morning over 100,000,000 cases has been recorded in Nigeria. The code for the dreaded virus is known as #HungerVid20. People are seriously hungry, FG abeg do something o",UNINFORMATIVE,Coronavirus HungerVid20.,INFORMATIVE,0.96032536
1306,1236297828458098689,"Update: About 70 people are trapped in a collapsed building at the Xinjia Hotel in Quanzhou, Fujian Province. 23 people have been rescued. The hotel had been used to isolate suspected #COVID19 patients. Witness said that the whole building was collapsed in just a few seconds.",UNINFORMATIVE,COVID19,INFORMATIVE,0.9577319
570,1236144335516655617,"In authoritarian countries, officials tend to sanitize ugly truths to please their big boss. Signs of that when sec. duque said that confirmed covid 19 in a Pinoy without travel history doesnt mean local transmission. Putok sa buho yung virus?",INFORMATIVE,NA,UNINFORMATIVE,0.95726097
526,1241305892404039680,Schalke 04 midfielder Amine Harit has made negative headlines in Germany after he went to a bar on Thursday night despite the coronavirus pandemic. #S04 #Bundesliga Full story 👉,UNINFORMATIVE,S04 Bundesliga,INFORMATIVE,0.95503414
1108,1241073842661085184,David Anzarouth knew it could happen to anyone but never thought it would happen to him. Every. Arsehole. Ever. How many other people has he infected? #covid19,INFORMATIVE,covid19,UNINFORMATIVE,0.9528913
1193,1237278722182406144,"Fewer than 200 new cases of CoronaVirus are currently reported in China daily, down from a peak of 4,000! If these figures can be relied on then the turn has already been made. The panic should end soon.",UNINFORMATIVE,NA,INFORMATIVE,0.95270604
